Film,US_release_date,Box_office_gross_Domestic_US_and_Canada,Box_office_gross_Other_territories,Box_office_gross_Worldwide,Budget,MCU,Phase,Distributor,MPAA_Rating,Length,Minutes,Franchise,Character_Family,Domestic_%,Gross_to_Budget,Rotten_Tomatoes_Critic_Score,Male_Female_led,Year,Inflation_Adjusted_Worldwide_Gross,Inflation_Adjusted_Budget,2.5x_prod,Break_Even
Superman,1978-12-15,134478449,166000000,300478449,55000000,FALSE,NA,Warner Bros.,PG,02:23:00,143,DC,Superman,45%,5.46,94,Male,1978,1404237104,257033544,137500000,Success
Superman II,1981-06-19,108185706,108200000,216385706,54000000,FALSE,NA,Warner Bros.,PG,02:07:00,127,DC,Superman,50%,4.01,83,Male,1981,725336273,181010842,135000000,Success
Superman III,1983-06-17,59950623,20300000,80250623,39000000,FALSE,NA,Warner Bros.,PG,02:05:00,125,DC,Superman,75%,2.06,29,Male,1983,245506947,119310861,97500000,Flop
Supergirl,1984-11-21,14296438,0,14296438,35000000,FALSE,NA,Tri-Star Pictures,PG,02:04:00,124,DC,Superman,100%,0.41,8,Female,1984,41926345,102642497,87500000,Flop
Howard the Duck,1986-08-01,16295774,21667000,37962774,37000000,FALSE,NA,Universal Pictures,PG,01:50:00,110,Marvel,Howard the Duck,43%,1.03,13,Male,1986,37962774,37000000,92500000,Flop
Superman IV: The Quest for Peace,1987-07-24,15681020,14600000,30281020,17000000,FALSE,NA,Warner Bros.,PG,01:30:00,90,DC,Superman,52%,1.78,10,Male,1987,81220728,45597948,42500000,Flop
The Return of Swamp Thing,1989-05-12,192816,82112,274928,3000000,FALSE,NA,Millimeter Films,PG-13,01:28:00,88,DC,Swamp Thing,70%,0.09,44,Male,1989,675573,7371813,7500000,Flop
Batman,1989-06-23,251409241,160160000,411569241,35000000,FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,11.76,76,Male,1989,1011337092,86004479,87500000,Success
The Punisher,1989-10-05,0,30000000,30000000,9000000,FALSE,NA,New World International,R,01:29:00,89,Marvel,Punisher,0%,3.33,25,Male,1989,30000000,9000000,22500000,Success
Batman Returns,1992-06-19,162924631,104010057,266934688,80000000,FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,3.34,81,Male,1992,579725033,173742884,200000000,Success
Batman: Mask of the Phantasm,1993-12-25,5635204,213000,5848204,5600000,FALSE,NA,Warner Bros.,PG,01:16:00,76,DC,Batman,96%,1.04,82,Male,1993,12331882,11808504,14000000,Flop
Batman Forever,1995-06-16,184069126,152498032,336567158,100000000,FALSE,NA,Warner Bros.,PG-13,02:01:00,121,DC,Batman,55%,3.37,40,Male,1995,672916968,199935422,250000000,Success
Batman & Robin,1997-06-20,107353792,130900196,238253988,125000000,FALSE,NA,Warner Bros.,PG-13,02:05:00,125,DC,Batman,45%,1.91,11,Male,1997,452313815,237306529,312500000,Flop
Steel,1997-08-15,1710972,91000,1801972,16000000,FALSE,NA,Warner Bros.,PG-13,01:37:00,97,DC,Superman,95%,0.11,12,Male,1997,3420958,30375236,40000000,Flop
Blade,1998-08-21,70087718,61123659,131211377,45000000,FALSE,NA,New Line Cinema,R,02:00:00,120,Marvel,Blade,53%,2.92,58,Male,1998,131211377,45000000,112500000,Success
X-Men,2000-07-14,157299718,139039810,296339528,75000000,FALSE,NA,Twentieth Century Fox,PG-13,01:44:00,104,Marvel,X-Men,53%,3.95,82,Male,2000,296339528,75000000,187500000,Success
Blade II,2002-03-22,82348319,72661713,155010032,54000000,FALSE,NA,New Line Cinema,R,01:57:00,117,Marvel,Blade,53%,2.87,57,Male,2002,155010032,54000000,135000000,Success
Spider-Man,2002-05-03,407022860,418002176,825025036,139000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,02:01:00,121,Marvel,Spider-Man,49%,5.94,90,Male,2002,825025036,139000000,347500000,Success
Daredevil,2003-02-14,102543518,76636200,179179718,78000000,FALSE,NA,Twentieth Century Fox,PG-13,01:43:00,103,Marvel,Daredevil,57%,2.3,43,Male,2003,179179718,78000000,195000000,Flop
X2,2003-04-30,214949694,192761855,407711549,110000000,FALSE,NA,Twentieth Century Fox,PG-13,02:14:00,134,Marvel,X-Men,53%,3.71,85,Male,2003,407711549,110000000,275000000,Success
